title,year,plot,genre
The Mass Shooting Monologues,2022,Centers on a high school mass shooting stemming from bullying.,Drama
AFK,2022,A young hackers life is forever changed when she is browsing The Dark Web and Hacks into the wrong web site.,Horror
Suro,2022,"Elena and Iván. About to have their first child, they decide to leave the city and move to the countryside to reset the cork plantation.",Drama
Cold Providence,2022,"Across snowbound Northern States, a blocked writer with a bag full of cash finds inspiration in a beautiful, vengeful killer and the two go on the run in a twisted noir road movie.",Crime
34 Seconds,2022,"A documentary chronicling life, death, and injustice on the U.S.-Mexico border.",Documentary
No Place Like Home,2022,"Directed by Oscar winner Kevin Willmott, No Place Like Home takes you on a tour of a deep red state, to meet people who have found themselves in a battle for LGBTQ rights in the most unlikely places. In places like rural Trego County, Salina and Topeka, you'll meet some of the people C.J. Janovy profiles in her book No Place Like Home: Lessons in Activism in LGBT Kansas (University Press of Kansas, January 2018). You'll also meet emerging activists - ordinary people doing extraordinary things, all because they're committed to securing justice for everyone in their home state.",Documentary
Cirkus,2022,"Two sets of identical twins are accidentally separated at birth. Several years later, when they are coincidentally in the same town, there is a lot of confusion and misunderstanding when people mistake them for each other.",Comedy
Perfect Strangers,2022,"Follows the story of seven friends who stay together for dinner and decide to play a game that involves them placing their cell phones on the dinner table, and accepting to share every call, text and voice message as it comes.",Comedy
Troll,2022,"Deep in the Dovre mountain, something gigantic wakes up after a thousand years in captivity. The creature destroys everything in its path and quickly approaches Oslo.",Action
Press Play,2022,"A young woman has a chance to save the love of her life, when she discovers that the mix-tape they made together can transport her back in time.",Music
The Calethian Prince a Story of the First Generation,2022,The universe is on the brink of collapse with the Kalethian empire rising in power because of the amazing strength of there prince and only three people can stand in there way three people who would go on to found the atacnic the freedom force of the universe. watch there story unfold in the first prequel to The Contest of the Eleventh Generation.,Sci-Fi
The Northman,2022,A young Viking prince is on a quest to avenge his father's murder.,Action
Garuda,2022,"Garuda revolves around the efforts of Vikram, a man on a mission to capture an evil mastermind who destroyed his family and is also a threat to the country.",Drama
"Daniel, the Goodboy",2022,"Everyone has their demons that haunt them, keep them up at night and whisper in their ear before bedtime. This is Daniel's journey. This is Daniel vs his demon, The Madman. This is Daniel, The Goodboy.",Thriller
Casey's Cleaning,2022,"While cleaning a new client's home, Christina and Brad discover something very suspicious.",Comedy
Avarice,2022,A gifted archer must rescue her husband and daughter after they are abducted during a vicious home invasion.,Action
An American Masquerade,2022,Two failed actors and a porn star. A car full of contraband. One hell of a road trip.,Comedy
Chroma,2022,"To avoid facing her heavy past, a young woman with a borderline personality tries to seduce her strange neighbor. A singular love story between these two lonely and wounded souls is born, but will it be enough to save them from themselves?",Drama
Dilly Loves Kitty,2022,A Texas oil man travels clear across the country to find his long lost love from second grade.,Comedy
The Brother's Game,2022,Two brothers raise each other after being abandoned by there family .They are determined now more than ever to break the endless cycle of repetition that their family has faced.,Drama
Bon Bini Holland 3,2022,Robertico and the FC Kip squad are ready for some new and even more hilarious adventures.,Comedy
Hawayein,2022,"Aditya, a youngster, decides to start a new life by travelling solo across India. During his journey,he encounters thought-provoking people and situations which change him as a person.Somewhere along the way, he even begins to explore himself.",Adventure
I Want to Thank the Academy,2022,This movie is made in Honor of everyone who chased a God given dream in their Life.,Comedy
Zillion,2022,The rise and fall of the country's biggest disco ever.,Crime
AI Love You,2022,"A modern love story set in the near future where an AI building is powered by human feelings. Due to a software glitch, it falls in love with a real girl, escapes the building into the body of a real man, and tries to win her affections.",Drama
Alam: Kingdom of Plants,2022,"Sarah flees her crumbling life in America to teach biology in semi-rural Malaysia. She has trouble adjusting to the new culture, Her adventure soon turns into terror because Sarah discovers a strange sickness has befallen her: She is throwing up dirt, earthworms and roots. She is slowly transforming with Vines and Flowers growing from her body Sarah discovers she is the victim of an ancient local legend: ""The Curse of the Twelve Sisters of Santhumala."" This forest spirit had always been telepathically calling her into the enchanted forest of Malaysia. With no other choice, and in search of a cure for her mysterious illness, Sarah ventures into the forest alone, letting her vines growing from her body guide her. Eventually she discovers the source of her ailment, a mystical giant creature trapped for generations in the forest, calling out to Sarah to submit. Once Sarah finally submits to this giant cave creature when she is swallowed up into the earth and is reborn. Has she been cured of her ailment? Is this a new beginning....?",Fantasy
Sex Appeal,2022,"Avery, a teenager with a tendency towards perfectionism, enlists her friend Larson to help her prepare for her first time with her long-distance boyfriend.",Comedy
"SÍ, A TODO",2022,"""SI A TODO"" is the tender, fun and memorable journey of two best friends in different generations.",Comedy
Rock Dog 3: Battle the Beat,2022,"When the young performers on a music contest show admit they have never heard of Angus Scattergood, Bodi is compelled to join the show to restore the Rock Legend's good name.",Animation
666 Derry Ln,2022,"In the summer of 2019, a group of 6 friends went missing from 1666 Derry Ln, Stiles Stark, Heather Stoneheart, Ada Miller, Dimitri Harris, Megan Stoneheart, and Logan Wells were never seen again. This film contains the truth behind their disappearance.",Horror
Am I OK?,2022,"Lucy and Jane have been best friends their entire lives. Only when Lucy embarks on a personal journey, will she face a test of her friendship, and her sense of self, on a path she may not be entirely ready to take.",Comedy
Titina,2022,Embark on the extraordinary polar adventure,Animation
Wisdom for Heroes,2022,A mellowed Hercules becomes a mentor to his young kingdom.,Action
The Georgetown Project,2022,A troubled actor begins to unravel while shooting a horror film. His estranged daughter wonders if he's slipping back into his past addictions or if there's something more sinister at play.,Thriller
Rise,2022,Based on the real life story about the family that produced the first trio of brothers to become NBA champions in the history of the league.,Biography
Scream,2022,"25 years after a streak of brutal murders shocked the quiet town of Woodsboro, Calif., a new killer dons the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town's deadly past.",Horror
Dog,2022,Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time.,Comedy
The Fever,2022,"Isolda is a young woman immersed in a worn relationship with Aura, who is joined by necessity and custom, since they have been together since they were little. Isolde suffers from strange fevers and learns to be the center of everyone's attention. Aura, meanwhile, learns to care for her with her grandmother's home remedies. Over time, fever mutates and remedies are no longer enough. But by chance they discover a new way to calm her down, establishing a healing mechanism between them; Isolda has a crisis and Aura calms her down in a sort of sex ritual and ice baths in the tub. To the point that the limit between having sex to heal or get sick to have sex is lost. The episodes arise from some disgust or sadness; mechanisms that Aura has always managed to handle in a timely manner, thus having control of Isolda's love and desire. Starting a new stage, they move to live together establishing themselves as a couple, but Tomás comes to Isolda's life with new experiences. And after brief encounters, he ends up being the key element to disrupt the world of Isolde, allowing him to understand where his attacks come from and what to do with them. While the relationship with Tomás grows, the one he has with Aura is diluted, everything collapses and Isolda will have nothing left but to assume and take charge.",Drama
Amor de madre,2022,"A young man is stood up at the altar. His overprotective mother decides to join him is what would have been his honeymoon, so as not to waste the trip. He ails while his mum enjoys the trip of her life.",Comedy
Rescued by Ruby,2022,"Chasing his dream to join an elite K-9 unit, a state trooper partners with a fellow underdog: clever but naughty shelter pup Ruby.",Biography
June Bugs,2022,Killer June Bugs attack the residents of a small town in Northern Maine.,Comedy
The Walk,2022,"In 1974, a Boston Irish cop confronts fierce social pressure after being assigned to protect black high school students as they are bused into all-white South Boston High.",Drama
Blood,2022,"After the death of her husband, a young woman travels to Japan where she finds solace in an old friend, but, when his comforting turns to affection, she realizes she must give herself permission before she can fall in love again.",Drama
Vermelho Monet,2022,"Follows the story of Johannes Van Almeida, a painter who was just released from prison and wants to start his life anew, but everything changes when art dealer Antoinette, and international actress in crisis Florence Lizz, get in his way.",Drama
Master,2022,"Three women strive to find their place at an elite Northeastern university. When anonymous racist attacks target a Black freshman, who insists she is being haunted by ghosts, each woman must determine where the real menace lies.",Drama
Massive Talent,2022,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",Action
Good Luck Sakhi,2022,"Plagued by seemingly endless bad luck, including the accidental death of her fiance, a young woman trains to compete as a sharpshooter at the national level.",Drama
Beast,2022,"After a shopping mall in Chennai had been hijacked by terrorists who held the visitors as hostages, Veera Raghavan, a spy also trapped in the mall, decides to save the hostages by eliminating the terrorists.",Action
Home Before Dark,2022,"A pod pilot crash lands on a strange desert planet, wounded, thirsty and desperate. Pursued by sand creatures, he is rescued by a teenage boy who doesn't have his best interests at heart.",Sci-Fi
Lucy ist jetzt Gangster,2022,"Reliable sources claim 10-year-old Lucy - actually a quiet and lovable primary school student - is about to rob a bank in the pedestrian zone of Bietigheim-Bissingen. Her motive is easy to understand: The ice-cream machine from GLAETERIA FELICITÀ, Lucy's parents' shop, has broken down. Lucy needs money to buy a new one, in order to save the families ice cream parlor. A few weeks ago, Lucy wouldn't even have jaywalked. She was recently coached by the school's bad boy, Tristan, in how to be ruthless and bad. The operation, code-named ""Lucyfer,"" covered various bad-guy disciplines such as stealing, lying, cheating, and bribing. Witnesses say the training was a total success: even Lucy's best friend Rima no longer recognizes her and is very worried, although there's absolutely no cause for concern.",Comedy
A Touch of Vengeance,2022,A hitman's life becomes more complicated after an easy job takes a turn for the worse.,Action
The Wrong,2022,"2 Years after a Killer known as the juicer is Caught the Police Realise On their Latest Case that in order to catch this one they need the Juicer Himself To Track Down The Killer Known as Barry The Mangler , It Takes a Killer to Catch a Killer.",Thriller
In Search of Tomorrow,2022,"A nostalgic journey through '80s sci-fi films, exploring their impact and relevance today, told by the artists who made them and by those who were inspired to turn their visions into reality.",Documentary
First Last Man,2022,"The journey of a man who seeks his very beginning as a human and his approaching end in humanity. In this journey his father, mother, brother, daughter and a mysterious voice accompany him. He tries to find the right way in the labyrinth of life, by following the signs of secret stories and prepares to tell his own story to us.",Mystery
Nightalk,2022,A police officer goes undercover on a phone sex app to solve a murder.,Crime
The Requin,2022,"A couple on a romantic getaway find themselves stranded at sea when a tropical storm sweeps away their villa. In order to survive, they are forced to fight the elements, while sharks circle below.",Horror
The Secret in the Wind,2022,"Malini and her Danish boyfriend Thomas set out to investigate a mysterious possible genocide that took place 21 years ago in a small hill station. The horrifying truth, however, bears resemblance to Thomas' dark past.",Drama
Redeeming Love,2022,"Sold into prostitution as a child, Angel knows nothing but betrayal. Can her heart ever be mended? Based upon the novel by Francine Rivers.",Drama
Beauty,2022,A gifted young Black woman struggles to maintain her voice and identity after she’s offered a lucrative recording contract.,Drama
When the Earth Gives Up the Dead,2022,"In the Yorkshire village of Dunwich, a huge, deformed creature has been born. An evil priest and a mad professor attempt to use the creature to contact the old gods, Dagon and Cthulhu. As a result, all hell (literally) breaks loose.",Horror
Hridayam,2022,"The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life.",Drama
The Last Ride of the Wolves,2022,"Pasquale, an old crook who lost his fortune to gambling, organizes his last big heist and reunites The Wolves, a gang of North-Italian fairground operators who moonlight as thieves. The robbery of a money truck - transporting 12 million euros in cash - could be a good pension for everybody, and secure the legacy of their old-school craftsmanship.",Drama
James,2022,"James also called Santhosh Kumar, who works as a manager in a security company and finds himself up against the big bad guys.",Action
Crow,2022,"One Halloween night, a Detroit man wades through a brutal odyssey of his memories and dreams, searching for the men who left him to die in the trunk of a car. A fan film dedicated to the cult series ""The Crow"" by James O'Barr.",Action
Bilbo and the Legend of the Last Living Cow,2022,"Facing the ultimate cow epidemic, milk-enthusiast Bilbo Berg teams up with his troublemaker childhood friend Alex to embark on an epic adventure to chase the legend of the last living cow.",Adventure
Eva Genesis,2022,A new hybrid DNA modified super soldier is created to protect a new wave of criminals in 2030,Action
Daemon Mind,2022,A neuroscientist creates a device which frees her inner Daemon allowing her to seek a terrible vengeance upon her enemies,Horror
Kendi Yolumda,2022,It follows a man as he gets an epiphany in a repair shop and ends up becoming a mechanic's apprentice.,Comedy
Midwives,2022,"Two midwives, one Buddhist and one Muslim, defy strict ethnic divisions to work side by side in a makeshift clinic in western Myanmar, providing medical services to the Rohingya of Rakhine State.",Documentary
"Riotsville, U.S.A.",2022,"Welcome to Riotsville, a fictional town built by the US military. Using all archival footage, the film explores the militarization of the police and creates a counter-narrative to the nation's reaction to the uprisings of the late '60s.",Documentary
Reincarnation,2022,"The protagonist of the story is a particularly talented musician. In 2014, he accidentally participated in a TV show in China and won the second place in the finals. a group of intimate friends planned to work with him and take the independent way. all over one year, their experience like a story of reincarnation. They toured more than 30 cities's live house and more than 15 music festivals. His new album won a lot awards, but the team was disbanded in the beginning of the 2015.",Documentary
Adanis: Kutsal Kavga,2022,"""Devotees"" is a group that was organized to protect an important secret that the Turks conquered after conquering Istanbul. The devotees engage in a tough fight against the dark forces struggling to capture this secret.",Action
Please Baby Please,2022,Newlyweds Suse and Arthur become the dangerous obsession of a greaser gang that awakens a sleeping quandary into the couple's sexual identity.,Drama
Wedding Season,2022,"Pressured by their parents to find spouses, Asha and Ravi pretend to date during a summer of weddings, only to find themselves falling for each other.",Comedy
Boy in the Corner,2022,"The backward system of society pushes another dream-filled boy to the curb, with his aspiration suppressed, he is at risk of falling into the attractive arms of gang life.",Crime
Aankh Micholi,2022,A family of misfits is trying to hide some secrets from the NRI suitor and his family as they want their daughter to get married to a well-to-do NRI guy. Then a series of comical twists and turns.,Comedy
Oskars Kleid,2022,"When Ben's son decides to live as a girl from now on, his world is turned upside down and the relationship with his family is put to a severe test.",Comedy
The Heritor,2022,"In a world of snakes and rats, what do you do when you go from being the predator to the prey? Mist is the best political assassin in the business and a ruthless former client knows it. When Mist receives a new contract from the man who betrayed her and forced her to break the sacred rule of never killing children, she knows this is her chance to get the revenge she craves more than the alcohol littering her cheap motel room. But Senator Johnson, not one to be outdone, uses this contract as a way to lure her out of hiding so he can send every assassin on his payroll after her to tie up the final loose end in his plan. As Mist fights off attack after attack--and her addiction--she'll have to decide whether a young girl she finds on the streets is worth the effort of protecting. Can Mist save the child this time, or will the child save her?",Action
Citizen Green,2022,"Citizen Green examines the current Zeitgeist of the global environmental challenges, solutions and actions we must take in order to live healthy and sustainable lives.",Documentary
Midland Club,2022,"A knotted tale of corruption, lies and murder in a midwestern town. Only one man is willing to reveal the truth.",Drama
Ivanna,2022,"Ambar and his family were terrorized when they celebrated Lebaran in the Bandung area. Ambar, a beautiful young woman who has limited vision, is able to see things that other people can't see.",Horror
Cannibal Lake,2022,"A group of 20 somethings want to end the summer on a high, they take the advice from a girl they met at a festival about a secret rave deep in the Valleys. When their route is detoured they have no choice but to venture into the unknown. Once they come across a derelict aqua park, they soon realize what they thought was their salvation turns out to be the heart of the Cannibals lair.",Horror
Runway 34,2022,"Inspired by true incidents, ""Runway 34"" revolves around Captain Vikrant Khanna played by Ajay Devgn, a flying prodigy, whose flight takes a mysterious course after take-off from an international destination.",Drama
Will-o'-the-Wisp,2022,"2069, an erotic year if ever there was one, but a fateful year for a king without a crown.",Comedy
Karate Man,2022,A martial arts champion with a first degree diabetes mellitus was passionate to fighting. The losing of the title during the Karate World Championships made him collapse to the ground at the end of the match to diabetic coma.,Action
Jackass Forever,2022,"After 11 years, the Jackass crew is back for another crusade.",Documentary
FIR,2022,"Irfan, an innocent man with an ordinary life, is portrayed as the evil incarnated by media trials. Is there a journey back to normal life for a man accused of terrorism? Is there more to Irfan than what meets the eye?",Action
Filthy Animals,2022,"A day in the life of two misfits who surf, smoke and hunt sexual predators.",Crime
Illegal Savannah,2022,"An independent artist gets romantically involved with her nephew, putting her in the dangerous situation of facing court time",Drama
Meridiane Story,2022,Myth of nonhuman Queen left alone on wild planet earth.,Drama
Dark Soul,2022,It tells the story of an Ancient book hidden by a tribe in the jungle. It holds the power of dark magic.,Horror
GR33D,2022,A bank robbery goes sour and the criminals go on the run and attempt to hide their ill-gotten gains.,Crime
Framing Agnes,2022,FRAMING AGNES turns the talk show format inside out in response to media's ongoing fascination with trans people. The film breathes life into six previously unknown stories from the archives of the UCLA Gender Clinic in the 1950s.,Documentary
Choose or Die,2022,"After firing up a lost 1980s survival horror game, a young coder unleashes a hidden curse that tears reality apart, forcing her to make terrifying decisions and face deadly consequences.",Drama
Say Goodbye,2022,"If you could tell the people in your life exactly what you think of them, what would you say?",Drama
Malazgirt 1071,2022,"The story of the war, which is the beginning of the history of Turks in Anatolia.",History
Kuruthi Aattam,2022,Two disparate men meeting by accident and the friendship they develop.,Action
Ajayante Randam Moshanam,2022,"Set in the Northern Kerala in 1900, 1950 and 1990, Three generations of heroes Maniyan, Kunjikelu and Ajayan, try to protect the most important treasure of the Land.",Adventure
Aslan Hürkus Kayip Elmas,2022,"Aslan is a boy who dreams of becoming an aeronautical engineer. Among the belongings of his grandfather, who was a heroic pilot, he comes across clues of literally reviving an old plane.",Animation
Son Parti,2022,Twin sisters Katre and Birsu try to go to the last party of year at the Sehnaz high school in Istanbul.,Comedy
Resurrection,2022,"Margaret's life is in order. She is capable, disciplined and successful. Everything is under control until David returns - that is - carrying with him the horrors of Margaret's past.",Crime
BigBug,2022,A group of bickering suburbanites find themselves stuck together when an android uprising causes their well intentioned household robots to lock them in for their own safety.,Comedy
Rise Up,2022,"When society is broken and demands for social justice go unmet, some folks don't give up, they rise up.",Documentary
Cardinal High of the Dead,2022,A group of students form a dangerous cult.,Horror
Acharya,2022,"Touted to be a socio-political actioner, the plot revolves around a middle-aged Naxalite-turned-social reformer who launches a fight against the Endowments Department over misappropriation of temple funds and donations.",Action
Grim,2022,"Three young beautiful woman; Olivia, Nikki, and Sasha, trying to better their lives after doing a job that they never expected to be doing, come up with a plan to steal from their dangerous boss; Sebastian, who has every cop and gangsta in the city working for him. The girl's plan doesn't go as planned and Olivia, Sasha and Nikki get into something much bigger than they thought possible. They have to come up with another plan to escape from their original plan, but things change for one of the girls that makes her want to back out of the original plan. A few days later after Olivia, Nikki and Sasha have pulled off their first plan to a certain degree, people are being killed and stalked left and right. Olivia, Nikki and Sasha have no idea who to trust and even Sebastian doesn't know who to trust either, since everyone wants to turn on him and become their own boss. Sebastian has lost control of his city and he needs a way to gain his city back. Little does anyone know that Sebastian is not the only mob boss in the city, and the girls have to find out who the real monster is. Who is the real mob boss of the city? Who really did kill all of these innocent people? Who is the corrupt one of the city? Who will survive the monster?",Crime
Glass Onion - Knives Out,2022,Famed Southern detective Benoit Blanc travels to Greece for his latest case.,Comedy
Incalescence - India's Soaring Temperatures,2022,"With the heat Index rising to record levels, India is facing unfathomable environmental crisis. The documentary shows the devastating impacts of heat wave that has caused deaths of people and also the healthy and working population.",Documentary
The Ace and the Scout,2022,"Inspired by Canuck WWI flying ace Billy Bishop, two young soldiers crash the front lines in August 1918. With the Allies detained, their platoon must desperately hold out alongside legendary Anishinaabe sniper Francis ""Peggy"" Pegahmagabow.",War
Hoy se arregla el mundo,2022,A man finds out the child he has been raising for 9 years might not be his son after all. They then set out to find the real biological father.,Comedy
Witch Trials,2022,Two documentary filmmakers and an ex-cop investigate the disappearance of a young girl that is rumored to have been abducted by a witch in the haunted woods of Connecticut.,Horror
Body Farm,2022,A forensic pathology student volunteering alone on a body farm is horrified to discover the corpses have begun to change position or even disappear altogether.,Horror
Sanctified,2022,An outlaw is rescued from death by a nun who is traveling through 1890 North Dakota. She nurses him back to health in exchange for him guiding her to a Church deep in the Badlands.,Western
The American Can,2022,"Based on a true story, disillusioned U.S. Marine Veteran John Keller must confront his inner demons to save people trapped in a building, while racial tensions rise in the aftermath of Hurricane Katrina.",Drama
Dag för dag,2022,"On a RV journey from Sweden to Switzerland, five different people come together to tend to an elderly man's last wishes. Cross-generational friendships are developed, An autumn romance is kindled and life-changing decisions are made.",Comedy
Ghetto Sushi,2022,"Six lifelong friends who grew up in a rough inner city, stumble upon a dark secret and use their love of Japanese culture to face a powerful enemy. After a string of mysterious deaths, They embark on an incredible adventure that has the potential to shape the world.",Action
Immanence,2022,"Radio astronomers discover a mysterious signal in the deep sea that could be contact with extraterrestrials. After several terrifying manifestations threaten their beliefs, the team must fight to survive the ultimate evil.",Horror
North of Normal,2022,"After being raised in the wilderness, a teenage girl moves to the city hoping for a normal life with her anything but normal mother.",Drama
Soygun Oyunu: Büyük Vurgun,2022,"A complete heist game. Whatever happens they have to win, a game where they put their loved ones in danger while winning. Two bad cops, a powerful man, a weak link Orhan and two people who can make this amazing plan.",Action
Fields of Gold,2022,"A. E. Staley went from growing up barefoot on a farm in North Carolina, to building a billion dollar agribusiness giant. He was the original owner of the football team that eventually became the Chicago Bears.",Documentary
Tootu Madike,2022,"When greed takes over the minds of people in the slum, the stolen antique figurine, linked to Indian Mythology, comes to spotlight. What will happen next?",Comedy
Chowki,2022,"This film revolves around folk based art that is yakshagana, yakshagana Artist and their psychology.",Drama
The Man from Toronto,2022,The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.,Action
Vadio,2022,"Thirteen year-old André and his father make a living drilling wells for water in the desolate region of Alentejo. When his father suddenly disappears André turns to Sandra, the only neighbor for miles, as his only chance of finding him.",Drama
Viens je t'emmène,2022,"Christmas Eve is ruined by an act of terrorism in the city of Clermont-Ferrand. As the city descend into panic, thirty something Mederic falls in love with older prostitute Isadora.",Comedy
Posti,2022,"Stray, poor, idle, addicted common people can be found easily around us. The politicians and system treat them as puppets. Such people are not considered as human beings. Most of their questions can't be solved but they themselves are a big question for society. These ""unimportant"" people either get trapped or become revolutionary for the society. Revolutionary people serve as the flag of humanity, the colors of which cause irritation in other's eyes. Posti is the story of the irritation caused by these revolutionary colors. Why it happened in the past, happening now and how long will it continue?",Comedy
Music School,2022,"This heart-warming 11 - Song musical is about how the prevailing Indian education system and parents put pressure on children to be competitive in their ""studies"", thereby leaving no time for art and culture. at this background, two music and drama teachers Mary and Manoj struggle to put up ""The sound of Music""",Musical
Nobody Loves You and You Don't Deserve to Exist,2022,"This multi award-winning British feature film follows a grieving ex-English teacher as he takes us on a personal journey through Broken Britain under Margaret Thatcher in the 1980s, John Major in the 1990s and Boris Johnson in the 2020s.",Drama
In the Dark,2022,A documentary exploring fears and experiences in the indie horror community.,Documentary
Canallas,2022,"Joaquín, Brujo and Luismi, three neighborhood slackers, reunite after twenty years. Brujo and Luismi are still out of work, each with a side hustle here and there, whereas Joaquín has become an important and well-known businessman. At least that´s what he thinks... At forty-seven, Joaquin is still living in the Orcasitas neighborhood with his mother, Esther, his yo-yo champion daughter, Brenda, and his younger brother Chema, a welder and Wing Chun master. Joaquin lives in apartment 9B, nine stories above his reality.",Comedy
K-Town,2022,"In a small town many people don't realize a mob has been operating a daily business for years.. And, when two powerful family's come head to head One family is told, the drugs have invaded the small town already.. Is family more important then money and power.. Not even the police can prevent the drugs and blood shed in the small town streets.. Till the mob decides to get involved, to even the score with a powerful drug dealer.. Who doesn't play by anyones rules but, his own..",Drama
Renegades,2022,"When a retired Green Beret soldier is murdered by an international drug gang in London, four of his veteran SAS comrades set out to avenge him, dispensing their own brand of justice on the streets of London.",Action
Black Warrant,2022,A semi-retired special ops assassin and a DEA agent cross paths on separate missions to stop a cyber terrorist organization that has built a dangerous machine threatening to attack the power grid and bring catastrophe to the world.,Action
Prospects,2022,"Corruption, redemption and heartache on a Montana Reservation.",Drama
Downton Abbey II: Eine neue Ära,2022,The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.,Drama
Fang,2022,"It's winter in Chicago and Billy Cochran (Dylan LaRay) can't stop alienating the people around him. His mother Gina (Lynn Lowry) is in and out of the hospital and her mind is breaking down, caught between her glory days as a Southern belle and her current state of decay. One night, Billy gets an unexpected visitor: a rat that springs out of his bathroom and bites him. At first, everything seems okay. Billy comes home, drowsy from the tetanus shot, and bonds with Gina's lovely new caregiver Myra (Jess Paul). Then the rat fur appears. It grows out of Billy's skin, then goes away like it was never there. The more Billy looks in the mirror and scratches, the more he's forced to face the unthinkable: he might be turning into a rat. Billy is plunged into a waking nightmare where he slowly discovers the truth about himself as he unleashes the ferocious depths of the human and rodent soul.",Drama
Through the Tear,2022,"We stand in the South African bush with Professor Lee Berger, the Paleoanthropologist who discovered the richest early hominid site yet found on the continent of Africa and a new species of human relative, Homo naledi, and, looking around the site of his discoveries, he says: ""Do you know why you feel at home in these surroundings?...because we are all indigenous from here. Everywhere else on this planet we have imposed ourselves; here, the trees, the plants, the animals, have gotten used to the human species and its evolution for millions of years..."" It is in this ""cradle of humankind"" that Artist Caroline Bittermann has been invited by the Nirox Foundation in South Africa to add an artwork to their permanent collection. Caroline has long been working with the concept of the historical English Landscape Garden, where ruins often had critical political impacts in expressing the rebellious opinions of the garden-owners. Here in South Africa, the Artist has created a sculpture in the form of a gate in ruin. The gate in ruin forms a word and is installed at the border between the pristine European looking landscape gardens of the Nirox Foundation and the wild African bush. The word SAN falls apart into three elements: a bench, a pyramid, and two columns. These elements are made out of natural stones, used burned bricks, and dented corrugated sheets, rusty steel, and plants. The word SAN is written on the ground inside the pyramid by the rising sun and gets smaller and smaller as sunlight travels through the day. The SAN population is slowly disappearing from our planet... Thus begins a film dialogue between an artist and renowned scientists in the field of genetic research, anthropology, and cognitive archaeology around the discourse of the beginning of our civilization. The film looks at the SAN people, today ""actors"" of their own culture in ""Living Museums"", as carriers of the oldest DNA markers on the tree of our evolution. To affirm or oppose this theory, we sample and compare a SAN woman's and Caroline Bittermann's DNA with Geneticist Professor Himla Soodyall at the Wits University research laboratory. While the DNA comparison reveals its scientific undeniable truth, we also reflect on the SAN's importance in the origin of art, communication and ritual communal behavior. Exploring caves in Cederberg and Drakensberg, we question David Pearce, Jean-Loïc Le Quellec and Pippa Stoknes on the cultural impact of the SAN people's rock paintings and artifacts making Africa the continent where our ""Modern Man's"" civilization began.To clarify the position of the modern humans in the story of mankind, we construct, with Professor Lee Berger, an animated time line of our evolution, in light of his recent major discoveries. If the SAN people are the foundation of human origin, should the world tolerate that their footsteps are definitely being covered over by the red dust of the Kalahari...? Is their extinction unavoidable? Are human reservations the solution? If we all are descendants of the SAN people, doesn't the light that the artist shines on them cast a shadow on the concept of ""race""?",Documentary
L'Invitation,2022,"An invitation from Timbuktu director Abderrahmane Sissako to visit and film his homeland, Mauritania, results in an epic yet ultimately intimate journey that retraces the threads of a relationship interrupted all too soon.",Documentary
Pocahontas Returns,2022,"The feature film ""Pocahontas Returns"" explores lost values inside our contemporary world and the search for ancient wisdom via the mise-en-abyme of hypermodern New York and neo-baroque Santa Cruz in Bolivia via an interracial love story blended with Telenovela and performance art.",Comedy
I Wish I Never Met You,2022,"Lauren Thomas is turning 40 and no one is more excited than her. She is married to an amazing husband, a true provider and father: Andrew Thomas. Andrew's brother, Franklin, is in a wheelchair due to a military attack. His wife, Mahogany, is currently pregnant with their first child. The two couples, along with three other couples and a few friends, are celebrating Lauren's birthday during the holidays since she is a Christmas baby. However, once the other women grow tired of Lauren bragging about her success, even though she is a stay-at-home wife, attitudes and snide comments take control. Over the course of the evening, things escalate and the entire cast gradually gets involved in the free-for-all until everything hits the proverbial fan. Everyone has dealt with someone that they wish they never met. What happens when you have more than a dozen of them in the same house? Find out in ""I Wish I Never Met You.""",Drama
Saving Billie Valentine,2022,"BILLIE VALENTINE, a sixteen-year-old African-American girl, TRAPPED and ALONE in a DANGEROUS TOWN with TWO HALF-BROTHERS TO FEED, gets a LIFE-CHANGING OPPORTUNITY to START ANEW but only if she can ESCAPE her TUMULTUOUS PAST",Drama
Catherine Called Birdy,2022,A 14 year old girl in medieval England navigates through life and avoiding potential suitors her father has in mind.,Adventure
La Hija de la Muerte,2022,"Based on the novel ""The Light At The End Of The World"" by Costa Rican author Rod Saturnine. The story centers on Clara, a romani teenager, who is the daughter of Mortimer, the entity of Death, and the complications that surround her while trying to belong to both the Earth and the spirit world. Will Clara deserve to be the heiress of her father's position or will her doubts make her lose her destiny?",Drama
Mia II the Last Chapter,2022,"After losing a lot of money on the first film Mia love never Dies. The producers of the film try to do a second part, hoping to make the money they lost in the first one, without realizing that will be the mistake of their lives.",Mystery
